ANO,MÊS,Estado de São Paulo (TOTAL),Metropolitana de São Paulo (TOTAL),Região Metropolitana de São Paulo (RMSP),Município de São Paulo,Demais municípios da RMSP,Demais municípios da MSP,Ribeirão Preto,Campinas,São José do Rio Preto,Bauru,Vale do Paraíba Paulista,Presidente Prudente,Macro Metropolitana Paulista,Piracicaba,Itapetininga,Assis,Araçatuba,Litoral Sul Paulista,Araraquara,Marília
2014,nov.-14,73 604,25 938,22 162,13 693,8 469,3 776,6 218,9 028,4 387,3 939,4 784,1 517,5 835,2 759,1 406,1 377,1 623,1 379,2 593,821
2014,dez.-14,82 353,29 920,25 969,16 152,9 817,3 951,6 134,10 241,5 041,4 253,4 990,1 896,6 797,3 070,1 424,1 510,1 763,1 456,2 906,952
2015,jan.-15,80 787,29 099,24 975,14 933,10 042,4 124,6 194,9 861,5 315,4 253,4 763,1 646,7 058,2 986,1 753,1 381,1 586,1 420,2 586,886
2015,fev.-15,62 866,23 070,20 175,11 912,8 263,2 895,5 558,7 065,4 016,3 250,3 748,1 299,5 285,2 174,1 188,1 051,1 289,1 262,1 880,731
2015,mar.-15,75 611,27 342,23 776,14 185,9 591,3 566,5 964,8 676,4 411,3 859,4 648,1 668,6 553,2 890,1 663,997,1 750,1 640,2 519,1 031
2015,abr.-15,72 828,29 151,25 728,16 909,8 819,3 423,5 064,8 250,4 317,3 375,4 244,1 496,5 681,2 627,1 472,1 248,1 654,1 322,2 179,748
2015,mai.-15,76 718,28 609,25 104,15 023,10 081,3 505,6 002,9 150,5 045,3 613,4 749,1 532,6 970,2 373,1 407,1 058,1 649,1 452,2 198,911
2015,jun.-15,75 343,26 772,23 481,13 976,9 505,3 291,5 713,8 767,4 779,3 746,4 291,1 534,7 241,2 615,1 604,1 221,1 968,2 014,1 986,1 092
2015,jul.-15,77 374,27 922,24 276,13 376,10 900,3 646,5 871,8 958,4 578,3 944,4 567,1 562,6 510,2 826,2 324,1 313,1 852,1 824,2 106,1 217
2015,ago.-15,75 230,25 592,22 229,13 181,9 048,3 363,5 580,9 558,5 072,3 930,4 805,1 531,6 317,3 020,1 946,1 428,1 827,1 657,1 964,1 003
2015,set.-15,73 958,25 106,21 580,12 042,9 538,3 526,5 958,9 146,4 693,3 789,4 745,1 586,6 672,2 725,1 570,1 553,1 787,1 412,2 063,1 153
2015,out.-15,70 559,25 246,21 465,12 811,8 654,3 781,5 523,8 751,4 925,3 380,4 340,1 182,5 675,2 650,1 662,1 270,1 664,1 273,2 065,953
2015,nov.-15,64 827,23 392,20 065,11 152,8 913,3 327,4 839,7 392,3 830,3 794,4 342,1 310,5 777,2 436,1 391,1 027,1 745,1 256,1 565,731
2015,dez.-15,75 971,27 490,23 980,13 303,10 677,3 510,5 894,8 953,4 406,4 635,5 005,1 594,6 244,2 780,1 501,1 302,1 669,1 595,2 046,857
2016,jan.-16,72 361,25 735,22 006,12 400,9 606,3 729,6 095,8 609,5 057,3 682,4 317,1 422,6 612,2 518,1 512,1 131,1 626,1 108,1 801,1 136
2016,fev.-16,56 709,20 656,18 101,10 712,7 389,2 555,3 982,7 052,3 283,3 073,4 058,1 068,4 399,1 982,1 083,979,1 337,1 429,1 605,723
2016,mar.-16,63 830,22 580,19 695,11 824,7 871,2 885,5 065,7 474,3 669,3 580,3 981,1 215,5 343,2 752,1 359,1 153,1 482,1 254,2 015,908
2016,abr.-16,62 608,22 487,19 554,11 371,8 183,2 933,4 884,7 667,3 416,3 357,4 043,1 228,5 378,2 590,1 324,913,1 285,1 223,1 801,1 012
2016,mai.-16,64 554,23 159,20 013,11 575,8 438,3 146,5 428,7 440,3 783,3 422,3 754,1 310,5 556,2 568,1 421,1 093,1 465,982,1 953,1 220
2016,jun.-16,69 463,24 693,21 589,12 385,9 204,3 104,5 056,8 925,4 409,3 797,4 232,1 420,5 795,2 745,1 451,1 180,1 460,1 255,1 887,1 158
2016,jul.-16,68 029,24 240,21 349,12 605,8 744,2 891,5 026,8 248,4 212,3 467,4 413,1 412,5 936,2 480,1 505,1 109,1 397,1 335,2 211,1 038
2016,ago.-16,77 759,27 011,23 482,12 680,10 802,3 529,6 080,9 827,4 844,4 547,4 564,1 405,6 213,3 131,1 612,1 589,1 807,1 274,2 620,1 235
2016,set.-16,69 749,24 986,22 219,12 828,9 391,2 767,5 764,8 570,4 238,3 497,4 497,1 416,6 207,2 434,1 301,1 138,1 787,993,1 930,991
2016,out.-16,60 992,21 239,18 544,11 463,7 081,2 695,5 046,7 093,3 787,3 349,3 827,1 313,5 626,2 321,1 286,1 092,1 292,1 221,1 738,762
2016,nov.-16,65 518,22 114,19 405,11 038,8 367,2 709,5 164,9 230,3 847,3 478,3 837,1 406,5 597,2 229,1 222,1 004,1 488,1 516,2 367,1 019
2016,dez.-16,83 619,29 441,25 717,14 813,10 904,3 724,6 696,10 562,5 356,4 260,5 674,1 637,6 471,3 169,1 797,1 512,1 758,1 680,2 586,1 020
2017,jan.-17,73 517,26 027,22 577,12 577,10 000,3 450,5 889,8 887,4 655,3 669,4 542,1 540,6 398,3 063,1 643,1 271,1 674,1 193,2 210,856
2017,fev.-17,52 143,18 182,15 777,9 199,6 578,2 405,4 145,6 187,3 473,2 724,3 260,1 121,4 172,1 864,1 093,994,1 321,936,1 864,807
2017,mar.-17,66 489,24 284,20 971,12 426,8 545,3 313,5 508,7 232,3 819,3 435,4 104,1 541,5 546,2 584,1 307,1 158,1 485,1 214,2 454,818
2017,abr.-17,57 172,20 562,18 130,10 346,7 784,2 432,4 598,6 095,4 046,2 853,3 639,1 303,4 743,2 313,1 125,1 160,1 231,993,1 818,693
2017,mai.-17,74 038,27 705,24 276,13 848,10 428,3 429,5 271,8 449,4 973,3 628,4 285,1 384,6 081,2 670,1 568,1 655,2 044,1 368,2 163,794
2017,jun.-17,70 150,25 875,22 529,12 934,9 595,3 346,5 233,8 149,4 585,3 458,4 275,1 457,5 443,2 786,1 448,1 210,1 818,1 364,2 283,766
2017,jul.-17,73 115,25 886,23 398,13 736,9 662,2 488,6 051,8 782,4 418,3 712,4 472,1 692,6 349,2 646,1 416,1 434,1 588,1 372,2 471,826
2017,ago.-17,80 004,28 616,24 945,14 544,10 401,3 671,6 919,9 255,5 033,4 089,5 136,1 603,6 895,2 905,1 366,1 361,1 742,1 760,2 514,810
2017,set.-17,69 701,25 483,22 439,12 760,9 679,3 044,6 056,7 573,4 340,2 981,4 645,1 356,5 920,2 614,1 429,1 044,1 792,1 347,2 291,830
2017,out.-17,70 777,26 131,23 256,13 252,10 004,2 875,5 552,8 274,4 476,3 414,4 373,1 437,5 767,2 672,1 614,1 303,1 679,892,2 187,1 006
2017,nov.-17,66 884,24 597,21 634,13 072,8 562,2 963,5 248,7 794,4 249,3 245,4 363,1 370,5 154,2 349,1 303,1 230,1 493,1 391,2 029,1 069
2017,dez.-17,75 575,26 493,23 121,14 081,9 040,3 372,6 509,9 111,4 685,4 024,4 312,1 610,6 704,2 865,1 607,1 476,1 569,1 429,2 157,1 024
2018,jan.-18,75 925,25 852,22 582,13 431,9 151,3 270,6 228,9 306,4 620,3 794,4 394,1 655,6 918,3 137,1 644,1 415,1 763,1 189,2 852,1 158
2018,fev.-18,53 787,18 469,16 217,10 013,6 204,2 252,4 905,6 708,3 553,3 108,3 049,1 006,4 250,1 967,1 130,1 078,959,1 025,1 588,992
2018,mar.-18,67 370,24 691,22 083,13 470,8 613,2 608,5 767,8 181,4 060,3 279,4 028,1 753,4 969,2 506,1 217,1 204,1 523,1 294,2 069,829
2018,abr.-18,70 992,26 350,23 537,13 822,9 715,2 813,5 463,7 787,4 511,3 785,4 198,1 424,5 541,2 928,1 450,1 248,1 687,1 390,2 212,1 018
2018,mai.-18,76 100,27 441,24 508,14 289,10 219,2 933,6 446,10 090,4 433,4 219,4 314,1 625,5 801,2 837,1 401,1 328,1 750,1 208,2 043,1 164
2018,jun.-18,71 862,26 952,23 788,14 344,9 444,3 164,5 605,8 340,4 194,4 062,4 595,1 240,5 515,2 420,1 467,1 185,1 990,1 165,2 313,819
2018,jul.-18,71 717,26 152,23 682,14 513,9 169,2 470,5 730,7 601,4 490,3 714,4 079,1 582,6 112,3 088,1 888,1 397,1 632,1 145,2 255,852
2018,ago.-18,84 312,31 440,27 531,16 163,11 368,3 909,6 367,9 994,5 825,4 603,5 244,1 681,6 179,3 252,1 687,1 505,1 884,1 343,2 294,1 014
2018,set.-18,72 984,27 979,24 514,14 925,9 589,3 465,5 478,7 748,4 586,3 699,4 821,1 412,5 371,3 049,1 590,1 307,1 841,1 071,2 176,856
2018,out.-18,80 680,30 118,26 423,16 036,10 387,3 695,6 335,9 174,5 255,4 468,4 859,1 689,6 880,2 775,1 711,1 388,1 828,1 141,2 201,858
2018,nov.-18,68 386,24 801,22 767,14 049,8 718,2 034,5 584,8 754,4 761,3 738,3 983,1 392,5 250,2 389,1 435,1 307,1 404,1 002,1 825,761
2018,dez.-18,75 189,28 922,25 451,15 259,10 192,3 471,5 953,7 794,4 823,3 888,4 487,1 729,6 013,3 069,1 546,1 474,1 798,910,1 944,839
2019,jan.-19,82 291,30 769,26 789,16 163,10 626,3 980,6 871,9 639,5 504,4 092,4 621,1 564,6 516,3 433,1 672,1 389,1 764,1 047,2 446,964
2019,fev.-19,63 352,23 129,21 377,12 839,8 538,1 752,4 951,7 342,4 278,2 932,3 855,1 261,5 125,2 711,1 728,1 282,1 441,816,1 812,689
2019,mar.-19,64 099,25 223,22 090,13 984,8 106,3 133,4 847,7 207,4 017,3 140,3 704,1 369,4 904,2 284,1 270,1 093,1 461,839,1 830,911
2019,abr.-19,74 106,29 486,26 163,16 349,9 814,3 323,5 408,8 251,4 671,3 294,4 286,1 331,6 226,2 875,1 616,1 404,1 596,1 096,1 843,723
2019,mai.-19,77 822,30 645,27 092,17 142,9 950,3 553,5 879,7 717,5 066,4 183,4 828,1 646,6 380,2 801,1 600,1 210,1 683,1 084,2 191,909
2019,jun.-19,66 782,25 413,23 611,15 020,8 591,1 802,5 036,7 490,4 021,3 434,3 920,1 521,5 585,2 527,1 307,1 162,1 545,957,1 820,1 044
2019,jul.-19,78 944,29 289,25 980,15 737,10 243,3 309,6 273,9 036,5 008,4 099,4 741,1 730,6 558,3 175,1 533,1 341,1 733,1 096,2 385,947
2019,ago.-19,81 790,32 602,29 058,18 319,10 739,3 544,5 862,9 309,5 196,4 190,4 779,1 566,6 064,2 722,1 972,1 353,1 813,1 217,2 175,970
2019,set.-19,75 927,29 936,26 451,15 988,10 463,3 485,5 510,8 440,5 217,3 559,4 550,1 516,5 838,3 056,1 669,1 321,1 702,978,1 850,785
2019,out.-19,86 743,33 992,30 021,18 604,11 417,3 971,6 405,9 551,5 787,4 586,4 725,1 797,6 748,3 136,1 950,1 547,2 004,1 355,2 368,792
